cellName,origCellName,destCellName,length,streamOrig,streamDest,boolean bi-directional
C392658134185161521051,C392658134185161521049,C392658134185161521053,1.5,W,E,true
C392658134185161521052,C392658134185161521050,C392658134185161521054,1.5,W,E,true
C392658134185161521053,C392658134185161521051,C392658134185161521055,1.5,W,E,true
C392658134185161521054,C392658134185161521052,C392658134185161521056,1.5,W,E,true
C392658134185161521055,C392658134185161521053,C392658134185161521057,1.5,W,E,true
C392658134185161521056,C392658134185161521054,C392658134185161521058,1.5,W,E,true
C392658134185161521057,C392658134185161521055,C392658134185161521059,1.5,W,E,true
C392658134185161521058,C392658134185161521056,C392658134185161521060,1.5,W,E,true
C392658134185161521059,C392658134185161521057,C392658134185161521061,1.5,W,E,true
C392658134185161521060,C392658134185161521058,C392658134185161521062,1.5,W,E,true
C392658134185161521061,C392658134185161521059,C392658134185161521063,1.5,W,E,true
C392658134185161521062,C392658134185161521060,C392658134185161521064,1.5,W,E,true
C392658134185161521063,C392658134185161521061,C392658134185161521065,1.5,W,E,true
C392658134185161521064,C392658134185161521062,C392658134185161521066,1.5,W,E,true
C392658134185161521065,C392658134185161521063,C392658134185161521067,1.5,W,E,true
C392658134185161521066,C392658134185161521064,C392658134185161521068,1.5,W,E,true
C392658134185161521067,C392658134185161521065,C392658134185161521069,1.5,W,E,true
C392658134185161521068,C392658134185161521066,C392658134185161521070,1.5,W,E,true
C392658134185161521069,C392658134185161521067,C392658134185161521071,1.5,W,E,true
C392658134185161521070,C392658134185161521068,C392658134185161521072,1.5,W,E,true
C392658134185161521071,C392658134185161521069,C392658134185161521073,1.5,W,E,true
C392658134185161521072,C392658134185161521070,C392658134185161521074,1.5,W,E,true
C392658134185161521073,C392658134185161521071,C392658134185161521075,1.5,W,E,true
C392658134185161521074,C392658134185161521072,C392658134185161521076,1.5,W,E,true
C392658134185161521075,C392658134185161521073,C392658134185161521077,1.5,W,E,true
C392658134185161521076,C392658134185161521074,C392658134185161521078,1.5,W,E,true
C392658134185161521077,C392658134185161521075,C392658134185161521079,1.5,W,E,true
C392658134185161521078,C392658134185161521076,C392658134185161521080,1.5,W,E,true
C392658134185161521079,C392658134185161521077,C392658134185161521081,1.5,W,E,true
C392658134185161521080,C392658134185161521078,C392658134185161521082,1.5,W,E,true
C392658134185161521081,C392658134185161521079,C392658134185161521083,1.5,W,E,true
C392658134185161521082,C392658134185161521080,C392658134185161521084,1.5,W,E,true
C392658134185161521083,C392658134185161521081,C392658134185161521085,1.5,W,E,true
C392658134185161521084,C392658134185161521082,C392658134185161521086,1.5,W,E,true
C392658134185161521085,C392658134185161521083,C392658134185161521087,1.5,W,E,true
C392658134185161521086,C392658134185161521084,C392658134185161521088,1.5,W,E,true
C392658134185161521087,C392658134185161521085,C392658134185161521089,1.5,W,E,true
C392658134185161521088,C392658134185161521086,C392658134185161521090,1.5,W,E,true
C392658134185161521089,C392658134185161521087,C392658134185161521091,1.5,W,E,true
C392658134185161521090,C392658134185161521088,C392658134185161521092,1.5,W,E,true
C392658134185161521091,C392658134185161521089,C392658134185161521093,1.5,W,E,true
C392658134185161521092,C392658134185161521090,C392658134185161521094,1.5,W,E,true
C392658134185161521093,C392658134185161521091,C392658134185161521095,1.5,W,E,true
C392658134185161521094,C392658134185161521092,C392658134185161521096,1.5,W,E,true
C392658134185161521095,C392658134185161521093,C392658134185161521097,1.5,W,E,true
C392658134185161521096,C392658134185161521094,C392658134185161521098,1.5,W,E,true
C392658134185161521097,C392658134185161521095,C392658134185161521099,1.5,W,E,true
C392658134185161521098,C392658134185161521096,C3926581341851615210100,1.5,W,E,true
C392658134185161521099,C392658134185161521097,C3926581341851615210101,1.5,W,E,true
C3926581341851615210100,C392658134185161521098,C3926581341851615210102,1.5,W,E,true
C3926581341851615210101,C392658134185161521099,C3926581341851615210103,1.5,W,E,true
C3926581341851615210102,C3926581341851615210100,C3926581341851615210104,1.5,W,E,true
C3926581341851615210103,C3926581341851615210101,C3926581341851615210105,1.5,W,E,true
C3926581341851615210104,C3926581341851615210102,C3926581341851615210106,1.5,W,E,true
C3926581341851615210105,C3926581341851615210103,C3926581341851615210107,1.5,W,E,true
C3926581341851615210106,C3926581341851615210104,C3926581341851615210108,1.5,W,E,true
C3926581341851615210107,C3926581341851615210105,C3926581341851615210109,1.5,W,E,true
C3926581341851615210108,C3926581341851615210106,C3926581341851615210110,1.5,W,E,true
C3926581341851615210109,C3926581341851615210107,C3926581341851615210111,1.5,W,E,true
