cellName,origCellName,destCellName,length,streamOrig,streamDest,boolean bi-directional
C141973259018594013792,C141973259018594013790,C141973259018594013794,1.5,W,E,true
C141973259018594013793,C141973259018594013791,C141973259018594013795,1.5,W,E,true
C141973259018594013794,C141973259018594013792,C141973259018594013796,1.5,W,E,true
C141973259018594013795,C141973259018594013793,C141973259018594013797,1.5,W,E,true
C141973259018594013796,C141973259018594013794,C141973259018594013798,1.5,W,E,true
C141973259018594013797,C141973259018594013795,C141973259018594013799,1.5,W,E,true
C141973259018594013798,C141973259018594013796,C1419732590185940137910,1.5,W,E,true
C141973259018594013793,C141973259018594013791,C141973259018594013792,1.0607,W,S,true
C141973259018594013795,C141973259018594013793,C141973259018594013794,1.0607,W,S,true
C141973259018594013797,C141973259018594013795,C141973259018594013796,1.0607,W,S,true
C141973259018594013799,C141973259018594013797,C141973259018594013798,1.0607,W,S,true
C141973259018594013792,C141973259018594013790,C141973259018594013793,1.0607,W,N,true
C141973259018594013794,C141973259018594013792,C141973259018594013795,1.0607,W,N,true
C141973259018594013796,C141973259018594013794,C141973259018594013797,1.0607,W,N,true
C141973259018594013798,C141973259018594013796,C141973259018594013799,1.0607,W,N,true
C141973259018594013791,C141973259018594013790,C141973259018594013792,1.0607,W,N,true
C141973259018594013793,C141973259018594013792,C141973259018594013794,1.0607,W,N,true
C141973259018594013795,C141973259018594013794,C141973259018594013796,1.0607,W,N,true
C141973259018594013797,C141973259018594013796,C141973259018594013798,1.0607,W,N,true
C141973259018594013790,C141973259018594013791,C141973259018594013793,1.0607,W,S,true
C141973259018594013792,C141973259018594013793,C141973259018594013795,1.0607,W,S,true
C141973259018594013794,C141973259018594013795,C141973259018594013797,1.0607,W,S,true
C141973259018594013796,C141973259018594013797,C141973259018594013799,1.0607,W,S,true
C141973259014197325942,C141973259014197325940,C141973259014197325944,1.5,W,E,true
C141973259014197325943,C141973259014197325941,C141973259014197325945,1.5,W,E,true
C141973259014197325944,C141973259014197325942,C141973259014197325946,1.5,W,E,true
C141973259014197325945,C141973259014197325943,C141973259014197325947,1.5,W,E,true
C141973259014197325946,C141973259014197325944,C141973259014197325948,1.5,W,E,true
C141973259014197325947,C141973259014197325945,C141973259014197325949,1.5,W,E,true
C141973259014197325948,C141973259014197325946,C1419732590141973259410,1.5,W,E,true
C141973259014197325943,C141973259014197325941,C141973259014197325942,1.0607,W,S,true
C141973259014197325945,C141973259014197325943,C141973259014197325944,1.0607,W,S,true
C141973259014197325947,C141973259014197325945,C141973259014197325946,1.0607,W,S,true
C141973259014197325949,C141973259014197325947,C141973259014197325948,1.0607,W,S,true
C141973259014197325942,C141973259014197325940,C141973259014197325943,1.0607,W,N,true
C141973259014197325944,C141973259014197325942,C141973259014197325945,1.0607,W,N,true
C141973259014197325946,C141973259014197325944,C141973259014197325947,1.0607,W,N,true
C141973259014197325948,C141973259014197325946,C141973259014197325949,1.0607,W,N,true
C141973259014197325941,C141973259014197325940,C141973259014197325942,1.0607,W,N,true
C141973259014197325943,C141973259014197325942,C141973259014197325944,1.0607,W,N,true
C141973259014197325945,C141973259014197325944,C141973259014197325946,1.0607,W,N,true
C141973259014197325947,C141973259014197325946,C141973259014197325948,1.0607,W,N,true
C141973259014197325940,C141973259014197325941,C141973259014197325943,1.0607,W,S,true
C141973259014197325942,C141973259014197325943,C141973259014197325945,1.0607,W,S,true
C141973259014197325944,C141973259014197325945,C141973259014197325947,1.0607,W,S,true
C141973259014197325946,C141973259014197325947,C141973259014197325949,1.0607,W,S,true
C141973259414197325972,C141973259414197325970,C141973259414197325974,1.5,W,E,true
C141973259414197325973,C141973259414197325971,C141973259414197325975,1.5,W,E,true
C141973259414197325974,C141973259414197325972,C141973259414197325976,1.5,W,E,true
C141973259414197325975,C141973259414197325973,C141973259414197325977,1.5,W,E,true
C141973259414197325976,C141973259414197325974,C141973259414197325978,1.5,W,E,true
C141973259414197325977,C141973259414197325975,C141973259414197325979,1.5,W,E,true
C141973259414197325973,C141973259414197325971,C141973259414197325972,1.0607,W,S,true
C141973259414197325975,C141973259414197325973,C141973259414197325974,1.0607,W,S,true
C141973259414197325977,C141973259414197325975,C141973259414197325976,1.0607,W,S,true
C141973259414197325979,C141973259414197325977,C141973259414197325978,1.0607,W,S,true
C141973259414197325972,C141973259414197325970,C141973259414197325973,1.0607,W,N,true
C141973259414197325974,C141973259414197325972,C141973259414197325975,1.0607,W,N,true
C141973259414197325976,C141973259414197325974,C141973259414197325977,1.0607,W,N,true
C141973259414197325978,C141973259414197325976,C141973259414197325979,1.0607,W,N,true
C141973259414197325971,C141973259414197325970,C141973259414197325972,1.0607,W,N,true
C141973259414197325973,C141973259414197325972,C141973259414197325974,1.0607,W,N,true
C141973259414197325975,C141973259414197325974,C141973259414197325976,1.0607,W,N,true
C141973259414197325977,C141973259414197325976,C141973259414197325978,1.0607,W,N,true
C141973259414197325970,C141973259414197325971,C141973259414197325973,1.0607,W,S,true
C141973259414197325972,C141973259414197325973,C141973259414197325975,1.0607,W,S,true
C141973259414197325974,C141973259414197325975,C141973259414197325977,1.0607,W,S,true
C141973259414197325976,C141973259414197325977,C141973259414197325979,1.0607,W,S,true
