# timeInterval, linkID, cellName, groupID, groupSizeOnLink 
4, 203, C14, 1, 1.5471619912418475
4, 202, C14, 1, 1.3807096111155727E-4
4, 200, C13, 1, 3.0864400335793585E-4
4, 198, C13, 1, 0.011202475961569308
4, 193, C18, 1, 0.04153747225286188
4, 191, C18, 1, 0.20030401835679643
4, 50, C8, 0, 0.023845181605510853
4, 48, C8, 0, 0.30229219386768613
4, 41, C6, 0, 4.764334404776815E-4
4, 40, C6, 0, 0.02871465701706621
4, 39, C6, 0, 4.592818057474643E-4
4, 38, C6, 0, 0.04061289858731214
4, 37, C6, 0, 1.3321292472268483E-4
4, 36, C6, 0, 0.8330842344770345
4, 34, C5, 0, 0.006484958694246767
4, 33, C5, 0, 1.786697529965312E-4
4, 32, C5, 0, 0.0018222289076850649
4, 30, C5, 0, 0.007194075861644533
4, 29, C4, 1, 1.5415419957510873E-4
4, 29, C4, 0, 7.164978066683642E-5
4, 28, C4, 1, 1.6142209331167794
4, 28, C4, 0, 1.3964293955113355E-4
4, 27, C4, 1, 5.531430669349784E-5
4, 27, C4, 0, 0.0012351640630577343
4, 26, C4, 1, 0.018791951795236114
4, 26, C4, 0, 5.057044791753167E-6
4, 25, C4, 1, 3.438085762361632E-4
4, 25, C4, 0, 4.7197609128799814E-4
4, 24, C4, 1, 1.8535050274981397E-7
4, 24, C4, 0, 0.02507661670538735
4, 23, C4, 1, 1.2405613124727435E-4
4, 23, C4, 0, 3.294221471764115E-5
4, 22, C4, 1, 0.004852644467496221
4, 22, C4, 0, 0.024232027734330353
4, 21, C4, 1, 0.0011728742450444786
4, 21, C4, 0, 1.557753851205496E-5
4, 20, C4, 1, 5.320237593154043E-4
4, 20, C4, 0, 0.9956148860675738
4, 19, C3, 1, 5.1516922826886055E-6
4, 19, C3, 0, 1.553692991390251E-5
4, 18, C3, 0, 0.0061163150760570545
4, 17, C3, 0, 5.420016968460805E-6
4, 16, C3, 1, 3.958580203320067E-7
4, 16, C3, 0, 2.3065153724202822E-4
4, 15, C3, 0, 1.675463765223526E-4
4, 14, C3, 1, 5.018873099660043E-6
